date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:40:30	1699/1699	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2023%20May%202018%2010:10:31%20GMT	http://www.websancreative.com/mk-project/js/featherlight.gallery.min.js	C:/My%20Web%20Sites/hansrajnew1/rohithansraj/www.websancreative.com/mk-project/js/featherlight.gallery.min.js	(from http://www.websancreative.com/mk-project/)
15:40:31	37045/37045	---M-Z	200	added ('OK')	application/javascript	etag:%221519106283%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	C:/My%20Web%20Sites/hansrajnew1/rohithansraj/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	(from http://www.websancreative.com/mk-project/)
15:40:31	3419/3419	---M--	200	added ('OK')	application/javascript	etag:%222d002d5-d5b-502b0dd308f00%22	http://www.websancreative.com/mk-project/js/wow.min.js	C:/My%20Web%20Sites/hansrajnew1/rohithansraj/www.websancreative.com/mk-project/js/wow.min.js	(from http://www.websancreative.com/mk-project/)
15:40:32	46118/46118	---M--	200	added ('OK')	image/png	etag:%222d002c8-b426-5684447ba2680%22	http://www.websancreative.com/mk-project/img/yt-favicon.png	C:/My%20Web%20Sites/hansrajnew1/rohithansraj/www.websancreative.com/mk-project/img/yt-favicon.png	(from http://www.websancreative.com/mk-project/)
15:40:33	13934/13934	---M--	200	added ('OK')	application/javascript	etag:%222d002d0-366e-5682c36652000%22	http://www.websancreative.com/mk-project/js/jquery.galpop.js	C:/My%20Web%20Sites/hansrajnew1/rohithansraj/www.websancreative.com/mk-project/js/jquery.galpop.js	(from http://www.websancreative.com/mk-project/)
15:40:34	1699/1699	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2023%20May%202018%2010:10:34%20GMT	http://www.websancreative.com/mk-project/images/ajax-loader.gif	C:/My%20Web%20Sites/hansrajnew1/rohithansraj/www.websancreative.com/mk-project/images/ajax-loader.gif	(from http://www.websancreative.com/mk-project/css/jquery.galpop.css)
15:40:34	2577/2577	---M--	200	added ('OK')	image/png	etag:%225ae86821-a11%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.2.0/assets/owl.video.play.png	C:/My%20Web%20Sites/hansrajnew1/rohithansraj/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.2.0/assets/owl.video.play.png	(from https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.2.0/assets/owl.carousel.min.css)
15:40:34	1699/1699	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2023%20May%202018%2010:10:35%20GMT	http://www.websancreative.com/mk-project/images/btn-close.png	C:/My%20Web%20Sites/hansrajnew1/rohithansraj/www.websancreative.com/mk-project/images/btn-close.png	(from http://www.websancreative.com/mk-project/css/jquery.galpop.css)
15:40:34	1699/1699	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2023%20May%202018%2010:10:35%20GMT	http://www.websancreative.com/mk-project/images/btn-prev.png	C:/My%20Web%20Sites/hansrajnew1/rohithansraj/www.websancreative.com/mk-project/images/btn-prev.png	(from http://www.websancreative.com/mk-project/css/jquery.galpop.css)
15:40:34	1699/1699	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2023%20May%202018%2010:10:35%20GMT	http://www.websancreative.com/mk-project/images/btn-next.png	C:/My%20Web%20Sites/hansrajnew1/rohithansraj/www.websancreative.com/mk-project/images/btn-next.png	(from http://www.websancreative.com/mk-project/css/jquery.galpop.css)
15:40:35	42766/42766	---M--	200	added ('OK')	application/javascript	etag:%222d002d4-a70e-5531e089a2f80%22	http://www.websancreative.com/mk-project/js/owl.carousel.min.js	C:/My%20Web%20Sites/hansrajnew1/rohithansraj/www.websancreative.com/mk-project/js/owl.carousel.min.js	(from http://www.websancreative.com/mk-project/)
15:40:41	35238/35238	---M--	200	added ('OK')	image/png	etag:%222d002c2-89a6-5684490cd6d00%22	http://www.websancreative.com/mk-project/img/monogram.png	C:/My%20Web%20Sites/hansrajnew1/rohithansraj/www.websancreative.com/mk-project/img/monogram.png	(from http://www.websancreative.com/mk-project/css/style.css)
15:40:41	86927/86927	---MC-	200	added ('OK')	text/javascript	date:Thu,%2025%20Jan%202018%2015:33:24%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/My%20Web%20Sites/hansrajnew1/rohithansraj/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from http://www.websancreative.com/mk-project/)
15:40:43	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221519106275%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	C:/My%20Web%20Sites/hansrajnew1/rohithansraj/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from http://www.websancreative.com/mk-project/)
15:40:44	60320/60320	---M--	200	added ('OK')	application/x-font-ttf	etag:%222d002b1-eba0-538056fb9e900%22	http://www.websancreative.com/mk-project/fonts/GILC.ttf	C:/My%20Web%20Sites/hansrajnew1/rohithansraj/www.websancreative.com/mk-project/fonts/GILC.ttf	(from http://www.websancreative.com/mk-project/css/style.css)
15:41:01	271142/271142	---M--	200	added ('OK')	image/png	etag:%222d002c4-42326-5680e7f696e00%22	http://www.websancreative.com/mk-project/img/schoolBG.png	C:/My%20Web%20Sites/hansrajnew1/rohithansraj/www.websancreative.com/mk-project/img/schoolBG.png	(from http://www.websancreative.com/mk-project/css/style.css)
15:41:22	750797/750797	---M--	200	added ('OK')	image/png	etag:%222d002c5-b74cd-5683614339200%22	http://www.websancreative.com/mk-project/img/schoolBG2.png	C:/My%20Web%20Sites/hansrajnew1/rohithansraj/www.websancreative.com/mk-project/img/schoolBG2.png	(from http://www.websancreative.com/mk-project/css/style.css)
